group_id,timestamp,path_choice,intersect_radius,intersect_centers_x,intersect_centers_y,obstacle_x,obstacle_y,velocity_x,velocity_y,odom_vel,main_path_length,alternative_path_length,direction,collision
1308,26281.61,0,0.2556291818618774,[0.12432924658060074],[-0.03332163020968437],[0.16816763537022283],[-0.13133469126520936],[-0.04618733283756796],[0.16628961493643668],-0.1091495156288147,2.086137056350708,2.52175521850586,False,False
1308,26285.66,1,0.3665104508399963,[-0.011958706192672253],[-0.056908875703811646],[0.12652939516601158],[0.2158128785713152],[-0.013987712630119102],[-0.009080344012660597],0.0284977834671735,2.228362798690796,3.4494705200195312,False,True
1309,26329.02,0,0.2216093242168426,[0.037304192781448364],[-0.08258448541164398],[0.19066045760086237],[-0.16832722524948532],[-0.07814693275307973],[-0.006033981734059038],-0.1104241386055946,2.0,2.391741275787353,True,False
1309,26331.79,0,0.2216093242168426,[0.037304192781448364],[-0.08258448541164398],[0.19066045760086237],[-0.16832722524948532],[-0.07814693275307973],[-0.006033981734059038],0.0437825173139572,2.3482351303100586,2.3482351303100586,True,False
1309,26342.09,1,0.1975443661212921,[0.017721308395266533],[-0.09014759212732315],[0.002033278253144921],[-0.26305670824697547],[-0.09913827615747278],[0.0030553594412861054],0.1254042088985443,2.3846781253814697,2.68106746673584,True,False
1310,26406.62,1,0.3623242080211639,[0.323172390460968],[0.21545277535915375],[0.25783768758722747],[0.1802311671889134],[-1.2966049525484948e-05],[0.008786177216794892],0.0403358004987239,3.5339605808258057,84.06494140625,False,False
1310,26413.74,1,0.2126606404781341,[-0.10760354995727539],[0.2600152790546417],[-0.09105424254267458],[0.2959690076966719],[-0.019217861612495526],[-0.043631968635590004],0.0015893555246293,3.149968147277832,3.02695631980896,False,False
1310,26416.97,1,0.2108691483736038,[0.43043839931488037],[-0.02988746389746666],[0.3888098444686592],[-0.15352159832964052],[0.08375665344030694],[0.24690410933660437],0.1167404055595398,3.023719549179077,4.380568027496338,False,False
1311,26537.54,1,0.2737384140491485,[-0.04895016923546791],[-0.22917331755161285],[-0.0794404253103882],[-0.2946271081192857],[0.054653319174048184],[-0.029327019748084236],0.0009620771743357,2.7291452884674072,84.28246307373047,True,False
1311,26537.68,0,0.3158496618270874,[-0.05181718245148659],[-0.25275498628616333],[-0.08128474508800831],[-0.31229383675977784],[0.06235638977928794],[-0.04783310335451574],0.0115104615688323,2.7286081314086914,84.28221893310547,True,False
